cod_mun,alpha_mun_mean,alpha_mun_lo,alpha_mun_hi,alpha_mun_range,nome_municipio
1100015,18363.34373685872,11662.529161365039,25013.293769681397,13350.764608316358,1100015
1100023,20924.744681602984,14256.304087620187,27358.38644506884,13102.082357448655,1100023
1100031,22068.61468422737,15587.129900608941,28324.39588175626,12737.265981147319,1100031
1100049,22003.437494944752,15429.243291527418,28544.49681352567,13115.253521998253,1100049
1100056,25159.383313155766,18504.01863423458,32026.002736663682,13521.984102429102,1100056
1100064,17094.425173259937,10446.28339887038,23595.856022743563,13149.572623873182,1100064
1100072,29772.894372696166,23168.75780364807,36454.5476474907,13285.789843842627,1100072
1100080,11771.171448040053,5175.58843502765,18327.60282401929,13152.01438899164,1100080
1100098,16352.946791368251,9727.574653731583,22965.476119586438,13237.901465854855,1100098
1100106,16608.396102822528,10275.386330767624,23224.114217851657,12948.727887084033,1100106
1100114,23646.546288085265,16887.383964886332,30338.238153198112,13450.85418831178,1100114
1100122,23170.049186277756,16102.38146868984,29971.37512989397,13868.993661204131,1100122
1100130,13823.844737774998,7179.23000179882,20569.984116925687,13390.754115126867,1100130
1100148,14830.890554838377,8200.196007119093,21527.765475911016,13327.569468791922,1100148
1100155,18437.89984021071,11607.753788048549,25024.24065043232,13416.48686238377,1100155
1100189,26456.460258272014,19612.174670225297,33317.5908301299,13705.416159904602,1100189
1100205,29103.080480641256,22052.519592015324,36036.39576105057,13983.876169035244,1100205
1100254,17960.061056182913,11751.20652004831,24333.802619277325,12582.596099229015,1100254
1100262,24389.05914780272,18029.24890342081,30670.567344796647,12641.318441375839,1100262
1100288,20247.876974154296,13519.306315382384,27250.272893021458,13730.966577639074,1100288
1100296,18719.356648846075,12260.207772918518,25127.345117352488,12867.13734443397,1100296
1100304,25779.38781257124,19174.03003809819,32447.485305496797,13273.455267398607,1100304
1100320,22713.881930631032,16406.065943073296,29099.57746998304,12693.511526909744,1100320
1100338,14991.917689151349,8122.974762055654,21666.67398503896,13543.699222983307,1100338
1100346,14977.42559958995,8344.12332918884,21544.877049638468,13200.753720449628,1100346
1100379,18726.61329189298,12198.898539457166,25349.8170656091,13150.918526151932,1100379
1100403,14262.691499309012,7854.955169914244,20887.992393729437,13033.037223815194,1100403
1100452,15379.892627013174,8531.658117644081,21969.51930704611,13437.861189402029,1100452
1100502,15784.37173618394,9249.645071693989,22340.55369172287,13090.908620028882,1100502
1100601,21468.109309259147,14962.229963206693,28016.643996296792,13054.4140330901,1100601
1100700,16673.658768860725,10181.660971502208,23181.811383009033,13000.150411506826,1100700
1100809,16805.144176218233,10072.737454422362,23535.261684363653,13462.524229941291,1100809
1100908,22315.907795154246,15838.499586188724,29192.252319904288,13353.752733715564,1100908
1100924,26415.445806823445,19521.903411236213,33049.399660820665,13527.496249584452,1100924
1100940,14544.255104942536,7862.617549884912,21168.28474666806,13305.66719678315,1100940
1101005,18178.34897184617,11715.837722404875,24592.04942337346,12876.211700968586,1101005
1101104,15465.28852579674,8915.28238494818,22134.265684394097,13218.983299445918,1101104
1101203,18021.37881952645,10967.603083353719,25303.548071844103,14335.944988490384,1101203
1101302,15721.818669070444,8945.329803464052,22263.483507901637,13318.153704437585,1101302
1101401,16019.157770691607,9412.783264271724,22819.41831917424,13406.635054902517,1101401
1101435,14576.19171079599,7929.962270607006,21475.63121238162,13545.668941774615,1101435
1101450,15892.850644026228,9372.512244259915,22555.28697328671,13182.774729026796,1101450
1101468,44253.69128735625,37202.50242699924,51317.09074236616,14114.58831536692,1101468
1101476,18354.167413239327,12082.647700954778,24986.063312869686,12903.415611914908,1101476
1101484,15015.337011345106,8227.387682895618,21729.50044841756,13502.11276552194,1101484
1101492,16101.027022605642,9376.492612162472,22684.993060810524,13308.500448648052,1101492
1101500,16594.82757951751,9985.377175037607,23151.810872390965,13166.433697353357,1101500
1101559,17253.363479027168,10628.970726368489,23675.225708177648,13046.25498180916,1101559
1101609,15345.504681758614,8681.592104323112,21910.11352633788,13228.521422014766,1101609
1101708,15134.426812081758,8262.27258294823,21905.985014279693,13643.712431331463,1101708
1101757,12756.612203567807,6248.013122974977,19243.199308582127,12995.18618560715,1101757
1101807,17286.942134597863,10667.893294087402,23928.037210423514,13260.143916336112,1101807
1200013,16056.103087505939,9311.124311785707,22822.210050334084,13511.085738548378,1200013
1200054,11643.747471937104,5101.814325433629,18140.986173564783,13039.171848131155,1200054
1200104,15359.750045061284,8483.800152499543,22441.227427716218,13957.427275216674,1200104
1200138,15786.381022330701,9028.379137897522,22301.341806683275,13272.962668785753,1200138
1200179,16645.345013530947,9773.348040281891,23377.364708320092,13604.0166680382,1200179
1200203,14736.201634586623,8207.483287502753,21329.201422131006,13121.718134628252,1200203
1200252,19566.183832511128,12832.235465083439,26079.806921651412,13247.571456567974,1200252
1200302,10036.79535019939,3467.051007456817,16410.755323123398,12943.70431566658,1200302
1200328,9480.156148525117,2910.330897096216,16288.59244918973,13378.261552093514,1200328
1200336,10372.964968568283,3717.4555673953955,16921.575743121797,13204.120175726403,1200336
1200344,12580.08732561644,5858.7370823522415,19445.812299097455,13587.075216745214,1200344
1200351,9900.83476359919,3104.637530042833,16853.187227910574,13748.54969786774,1200351
1200385,13655.860065782963,7000.513389760422,20185.925945498155,13185.412555737734,1200385
1200393,9371.876555047493,2787.250486749036,15868.761883704348,13081.511396955313,1200393
1200401,20724.454664014404,14247.989408816919,27465.69704234663,13217.707633529712,1200401
1200427,10089.308715526737,3620.9333998393863,16668.96590698366,13048.032507144273,1200427
1200435,10592.4821878014,4195.705202480925,17176.63064914602,12980.925446665095,1200435
1200450,15967.281818529756,9486.938074532094,22320.942003020795,12834.0039284887,1200450
1200500,11081.653186912348,4196.575138177043,17918.680086641758,13722.104948464716,1200500
1200609,10683.090974692075,4149.5457294570515,17178.21545868482,13028.669729227768,1200609
1200708,12474.679190947996,5977.814561478028,18892.171701635172,12914.357140157144,1200708
1200807,12697.960883573596,6291.046061107836,19245.0858317546,12954.039770646765,1200807
1300029,8898.514696826058,2169.332892456557,15548.92163461261,13379.588742156053,1300029
1300060,6995.80621839963,354.240917326399,13831.093351628439,13476.85243430204,1300060
1300086,8042.275405225391,938.1087937980076,15279.530007130561,14341.421213332553,1300086
1300102,9409.31430936049,2716.5734106629398,16018.280175122376,13301.706764459435,1300102
1300144,9664.684382598347,3033.994812942077,16216.960501304507,13182.96568836243,1300144
1300201,7432.247937516752,593.6434342474926,14284.900846850573,13691.25741260308,1300201
1300300,8122.742564129479,1278.8418279638095,14806.575861399924,13527.734033436114,1300300
1300409,6188.0215013128045,-831.6851850189521,12920.39131732093,13752.076502339882,1300409
1300508,7625.551167437451,964.0237958241954,14145.54617614471,13181.522380320514,1300508
1300607,6959.035552149494,290.4544598320651,13721.825819868967,13431.371360036903,1300607
1300631,7511.752569246342,811.4879797727472,14052.954659400812,13241.466679628065,1300631
1300680,6744.210950310858,252.03387596872315,13432.814450832546,13180.780574863822,1300680
1300706,9948.837464999548,3119.114437645099,16811.87583595866,13692.761398313562,1300706
1300805,7323.817456462136,578.8881786016784,13796.711880473604,13217.823701871925,1300805
1300839,10898.007770834569,4119.044405523062,17888.65755545743,13769.613149934368,1300839
1300904,6803.955603230955,602.9743472575668,13278.160575365151,12675.186228107585,1300904
1301001,9631.843966269698,2844.311915249734,16170.54979933659,13326.237884086855,1301001
1301100,7386.960235218594,634.3762367614816,14104.466630812778,13470.090394051296,1301100
1301159,10380.647037404107,3732.6478163353518,17105.61872919291,13372.970912857558,1301159
1301209,31928.23593801834,25010.131935603982,38623.391426789385,13613.259491185403,1301209
1301308,18965.556956047138,12246.100996942672,25521.283074343206,13275.182077400534,1301308
1301407,11562.177389889906,5157.623329078267,18077.66523283983,12920.041903761565,1301407
1301506,7677.9474606654,1099.3745137464969,14295.029904413508,13195.65539066701,1301506
1301605,8425.146852934024,1789.329937235365,15161.300605305929,13371.970668070564,1301605
1301654,7124.333609905243,680.3954689581784,13851.843964400565,13171.448495442386,1301654
1301704,9915.2114089898,3503.781338890861,16415.58627743603,12911.804938545167,1301704
1301803,5224.2397937600845,-1427.4043254238882,11946.688779503493,13374.09310492738,1301803
1301852,13025.16040269727,6573.609849546182,19631.934221800482,13058.324372254301,1301852
1301902,17561.46122052495,11188.15608138681,24005.809844946463,12817.653763559654,1301902
1301951,10755.218968684248,4291.204813295895,17551.36091539997,13260.156102104076,1301951
1302009,11824.616535932128,4976.844336362044,18383.74181582453,13406.897479462488,1302009
1302108,16415.295519173298,9750.016794942385,22846.114519087903,13096.097724145518,1302108
1302207,7305.773592243859,590.774140345855,13928.323585214097,13337.549444868242,1302207
1302306,12443.042114059692,5915.080899968106,18974.687512094515,13059.606612126408,1302306
1302405,9931.333748474102,3260.6778221081663,16495.05961088921,13234.381788781044,1302405
1302504,13525.091327244814,6503.797736950736,20233.59608342907,13729.798346478336,1302504
1302553,7987.908141391819,1658.117682340331,14559.319318077363,12901.201635737032,1302553
1302603,34318.05679050945,27647.758138991707,40823.257248782684,13175.499109790977,1302603
1302702,9192.914116498252,2292.4771752600855,16090.34641670856,13797.869241448476,1302702
1302801,7027.778855914803,285.49543250294255,13888.39646764212,13602.901035139177,1302801
1302900,7338.531346495183,442.50206254696826,14019.195583158378,13576.69352061141,1302900
1303007,6972.16284891211,429.48723125567943,13510.005539566631,13080.518308310951,1303007
1303106,6466.1010868407475,-72.0627019751303,13115.710955989041,13187.773657964171,1303106
1303205,7249.797936028438,562.4994446984655,13853.406613692025,13290.907168993559,1303205
1303304,7158.63260741001,643.4577621721672,14139.696740797714,13496.238978625546,1303304
1303403,9527.335003670323,3118.132717872785,16024.605525296125,12906.472807423339,1303403
1303502,7474.918230272048,840.5199742404947,14224.601879409443,13384.081905168949,1303502
1303536,20675.079336189036,14163.26609457188,27257.42472074331,13094.158626171431,1303536
1303569,12052.2099249117,5573.8025037929,18594.56082439143,13020.758320598528,1303569
1303601,5875.676738274846,-877.5015410635983,12689.639805167382,13567.141346230981,1303601
1303700,7207.664476046306,391.1867839468346,14005.549630775231,13614.362846828397,1303700
1303809,6808.857159818492,-35.7264492955991,13438.678007986191,13474.40445728179,1303809
1303908,6133.313317172438,-367.7164792569122,12730.363868693838,13098.08034795075,1303908
1303957,7450.972401108508,1019.0142747555979,13946.128482741191,12927.114207985593,1303957
1304005,10959.047111725044,4570.064076939898,17320.221840215872,12750.157763275975,1304005
1304062,7490.0731141348115,985.5313024030064,14158.517516786736,13172.98621438373,1304062
1304104,11277.050242370002,4256.940631533538,18093.669710350274,13836.729078816736,1304104
1304203,12301.978082379477,5543.916833230477,18972.4031660894,13428.486332858924,1304203
1304237,6828.179962555928,241.7026008223454,13552.490383307828,13310.787782485482,1304237
1304260,11451.238488129551,4745.787604625694,18169.71119576622,13423.923591140527,1304260
1304302,16129.457866853372,9612.19885469687,22580.37916641735,12968.180311720482,1304302
1304401,6573.159432314404,-98.85037752734293,13286.122994268384,13384.973371795726,1304401
1400027,12718.527052121308,6272.206855653942,19358.967418931097,13086.760563277156,1400027
1400050,15609.37685831618,9332.142747691956,22200.235823526054,12868.093075834098,1400050
1400100,24082.55921711709,17517.295408522936,30601.569445716523,13084.274037193587,1400100
1400159,20812.07514077923,14207.759037323573,27311.30190258701,13103.542865263436,1400159
1400175,13582.260459403045,7248.570986991458,19875.805951947663,12627.234964956206,1400175
1400209,14993.531640910089,8193.800272979775,21943.333640757726,13749.53336777795,1400209
1400233,15903.7956422015,9289.053699279557,22414.157368986085,13125.103669706528,1400233
