,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_alpha,20970.6967,624.5622,19790.5096,22105.8084,25.235,12.4013,613.3128,1297.3788,1.003
sigma_alpha,20661.7326,196.2134,20275.7977,21013.5532,9.4118,4.3859,435.2553,909.2429,1.0034
gamma_t[0],-8273.5633,597.7679,-9349.6262,-7128.2923,20.8119,11.4899,828.5745,1414.4409,1.003
gamma_t[1],-6448.988,594.5016,-7509.4241,-5290.7108,20.9611,11.4475,808.7909,1327.8569,1.0025
gamma_t[2],-5104.3544,592.2717,-6184.6374,-3977.6321,20.918,11.4704,804.4474,1386.3585,1.0034
gamma_t[3],-3529.5879,592.6737,-4558.2025,-2359.1226,20.675,11.5048,825.3305,1395.5906,1.0029
gamma_t[4],-2253.0364,595.7534,-3341.8731,-1123.3646,21.0396,11.6123,807.1008,1424.8526,1.0031
gamma_t[5],-1288.3076,593.5134,-2331.4282,-117.4065,20.8969,11.6828,810.8374,1293.8941,1.0028
gamma_t[6],57.4165,596.2834,-979.0209,1228.6707,20.8996,11.4623,820.7492,1448.9797,1.004
gamma_t[7],1102.9769,593.0073,37.1925,2235.9842,20.7999,11.8133,815.7685,1293.3729,1.0029
gamma_t[8],2531.7991,591.4463,1497.6288,3680.5744,20.6917,11.5758,822.4286,1429.4075,1.0032
gamma_t[9],3667.8777,596.1075,2631.6391,4828.4952,20.7963,11.9585,824.4699,1344.5167,1.0026
gamma_t[10],6498.919,594.1266,5308.1188,7547.9988,20.6431,11.6246,830.5459,1404.6181,1.0027
gamma_t[11],12859.0036,592.6523,11780.8671,13973.7241,21.0152,11.5782,797.8808,1328.8261,1.0026
beta_agro,-0.031,0.3038,-0.5862,0.5635,0.0036,0.0047,7087.8865,3239.7088,0.9996
beta_ind,3.1878,1.6314,0.1197,6.2522,0.0172,0.0264,8993.2329,3428.9315,1.0004
beta_adm,-0.841,0.5972,-2.082,0.1935,0.0068,0.01,7567.1492,3372.7832,0.9998
sigma,11726.3265,32.4968,11666.2722,11788.1171,0.3763,0.527,7416.4311,3282.2527,0.9997
